date,price,price_diff,sigma_price,ann_std,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2006-01-03,2243.739990234375,0.0,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-04,2263.4599609375,19.719970703125,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-05,2276.8701171875,13.41015625,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-06,2305.6201171875,28.75,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-09,2318.68994140625,13.06982421875,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-10,2320.320068359375,1.630126953125,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-11,2331.360107421875,11.0400390625,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-12,2316.68994140625,-14.670166015625,,,,,,0.0,0,1.0817665809257662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-13,2317.0400390625,0.35009765625,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-17,2302.68994140625,-14.35009765625,,,,,,0.0,0,1.0817665809257662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-18,2279.639892578125,-23.050048828125,,,,,,0.0,0,1.0817665809257662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-19,2301.81005859375,22.170166015625,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-20,2247.699951171875,-54.110107421875,,,,,,0.0,0,1.0817665809257662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-23,2248.469970703125,0.77001953125,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-24,2265.25,16.780029296875,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-25,2260.64990234375,-4.60009765625,,,,,,0.0,0,1.0817665809257662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-26,2283.0,22.35009765625,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-27,2304.22998046875,21.22998046875,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-30,2306.780029296875,2.550048828125,,,,,,0.0,0,1.0817665809257662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-31,2305.820068359375,-0.9599609375,,,,,,0.0,0,1.0817665809257662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
