date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2006-01-03,2243.739990234375,0.0,,2243.739990234375,2243.739990234375,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-04,2263.4599609375,19.719970703125,,2247.325439453125,2244.3467585637018,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-05,2276.8701171875,13.41015625,,2252.697199041193,2245.347477290588,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-06,2305.6201171875,28.75,,2262.3195477950667,2247.2020200566467,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-09,2318.68994140625,13.06982421875,,2272.568710269827,2249.401648405865,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-10,2320.320068359375,1.630126953125,,2281.2507753770174,2251.583753635204,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-11,2331.360107421875,11.0400390625,,2290.3615630215368,2254.0384106747942,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-12,2316.68994140625,-14.670166015625,,2295.1485409096663,2255.966150081916,,,,,0,3.636059743016848,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-13,2317.0400390625,0.35009765625,,2299.1288133010903,2257.845346665934,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-17,2302.68994140625,-14.35009765625,,2299.776291138392,2259.2251803502513,,,,,0,3.636059743016848,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-18,2279.639892578125,-23.050048828125,,2296.115127763798,2259.853325341878,,,,,0,3.636059743016848,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-19,2301.81005859375,22.170166015625,,2297.15056973288,2261.144301749628,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-20,2247.699951171875,-54.110107421875,,2288.1595481763334,2260.730629424159,,,,,0,3.636059743016848,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-23,2248.469970703125,0.77001953125,,2280.9432613630224,2260.3533783865887,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-24,2265.25,16.780029296875,,2278.0899411152,2260.5040436670015,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-25,2260.64990234375,-4.60009765625,,2274.9190249749363,2260.508531626286,,,,,0,3.636059743016848,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-26,2283.0,22.35009765625,,2276.3882931613116,2261.2005768070158,,,,,0,3.636059743016848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
